patchsize,fasttresh,scalefactor,n_levels,track_error,features,total_matches,good_matches,blur,flow
31,14,1.2,8,0,1503,1503,280,182.3936203833763,3.4005148
31,14,1.2,8,0,1482,1482,296,191.9848576950586,3.6635358
31,14,1.2,8,0,1551,1551,251,183.31424131561712,4.0950727
31,14,1.2,8,0,1496,1496,222,214.650083172451,6.7895923
31,14,1.2,8,0,1563,1563,308,196.46623290116926,4.91836
31,14,1.2,8,0,1566,1566,285,187.38337400822522,7.096011
31,14,1.2,8,0,1589,1589,128,215.93840199373616,12.384966
31,14,1.2,8,0,1655,1655,201,263.015516830633,11.997836
31,14,1.2,8,0,1647,1647,180,270.58184406215054,11.293205
31,14,1.2,8,0,1616,1616,168,242.7283847648786,12.71659
31,14,1.2,8,0,1629,1629,111,263.3891786376563,14.293385
31,14,1.2,8,0,1589,1589,141,218.95878051583696,11.144778
31,14,1.2,8,0,1591,1591,157,223.77551476800184,11.684766
31,14,1.2,8,0,1567,1567,158,195.31132028953317,11.207873
31,14,1.2,8,0,1547,1547,97,215.5751000419347,11.273083
31,14,1.2,8,0,1610,1610,90,231.79650873373936,11.378133
31,14,1.2,8,0,1575,1575,84,218.45030463943857,13.472148
31,14,1.2,8,0,1585,1585,120,241.9005942535666,10.717892
31,14,1.2,8,0,1567,1567,138,220.72793382565175,9.419418
31,14,1.2,8,0,1576,1576,137,260.49169909994316,8.026465
31,14,1.2,8,0,1555,1555,73,255.92107688561634,14.434023
31,14,1.2,8,0,1478,1478,186,282.48846407102155,5.043752
31,14,1.2,8,0,1416,1416,123,237.2763425779333,8.322389
31,14,1.2,8,0,1246,1246,182,237.72554118782097,4.588208
31,14,1.2,8,0,1161,1161,58,203.85080028786072,8.563446
31,14,1.2,8,0,841,841,105,187.15837049557533,5.231079
31,14,1.2,8,0,639,639,71,144.05366246355243,6.725382
31,14,1.2,8,0,708,708,86,130.28005495194162,3.8399093
31,14,1.2,8,0,717,717,109,104.41731813010144,4.1188884
31,14,1.2,8,0,859,859,146,135.95069822811803,3.8800905
31,14,1.2,8,0,857,857,119,111.25319709966223,4.333342
31,14,1.2,8,0,900,900,131,122.60775060530892,4.576816
31,14,1.2,8,0,914,914,136,109.8903344511153,4.7077065
31,14,1.2,8,0,1015,1015,175,145.64745918105442,4.3476224
31,14,1.2,8,0,1009,1009,162,122.15975129233081,4.8462253
31,14,1.2,8,0,1020,1020,221,130.73712510421078,3.4348822
31,14,1.2,8,0,1013,1013,142,121.2821978041242,4.638867
31,14,1.2,8,0,986,986,162,140.78440478463807,4.3023863
31,14,1.2,8,0,1027,1027,145,117.85279073619752,4.6581817
31,14,1.2,8,0,1051,1051,211,130.61233912438726,3.77031
31,14,1.2,8,0,1018,1018,185,114.98195214315109,4.0028467
31,14,1.2,8,0,1046,1046,119,136.4389045290314,5.2485585
31,14,1.2,8,0,1019,1019,217,116.36304954746944,3.327849
31,14,1.2,8,0,1074,1074,177,125.71428981232981,4.598388
31,14,1.2,8,0,1075,1075,136,112.72456125291484,5.2048016
31,14,1.2,8,0,1045,1045,160,134.83795010551782,4.515493
31,14,1.2,8,0,1046,1046,184,107.24034480977882,4.082552
31,14,1.2,8,0,1073,1073,191,119.72340534998648,4.267267
31,14,1.2,8,0,1031,1031,204,105.52130060344562,4.7889442
31,14,1.2,8,0,1060,1060,108,128.59221725031637,6.721569
31,14,1.2,8,0,1031,1031,179,109.18910818280037,4.3275084
31,14,1.2,8,0,1028,1028,173,119.73393353574585,4.2650366
